sku_repuesto,cod_linea,cod_origen,cod_marca,cod_articulo,cod_fabricacion,desc_articulo,created_at,updated_at
02:06:A13:1829436,02,06,A13,1829436, ,HOJA MUELLE POST NRO 4 G460,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
37:02:027:81.06101-6515,37,02,027,81.06101-6515,CR 1152 000P,RADIADOR AGUA RR4 26.430,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
01:06:413:20532212,01,06,413,20532212, ,PIÑON 2DA EJE DESLIZ AT2512/2812C,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
01:02:A65:70320666,01,02,A65,70320666,606367,RADIADOR AGUA B12R,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
02:06:049:1790598,02,06,049,1790598,74530531,CORONA DENTADA SELECT + FIJADORES GR801,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
02:06:A13:1829437,02,06,A13,1829437, ,HOJA MUELLE POST NRO 5 G460,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
21:02:666:A-7331,21,02,666,A-7331,A7331,SINCRONIZADOR DE ALTA EJE PRINCIPAL,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
02:06:A13:2285570,02,06,A13,2285570, ,HOJA MUELLE DELANT NRO 4 G460,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
02:06:322:1818419,02,06,322,1818419, ,FRENO DE MOTOR  S-5 R-440,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
02:02:030:2978766,02,02,030,2978766,1.11765,PALETA VENTILADOR C/VICOSTATICO P/G/R/T,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
02:02:863:2978766,02,02,863,2978766,7075422,PALETA VENTILADOR C/VICOSTATICO P/G/R/T,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
01:06:837:1614798,01,06,837,1614798,31.66.0100.4(T-24),"DIAFRAG PULMON FRENO 7""T-24"")",2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
01:01:001:22537018,01,01,001,22537018, ,RUEDA SENSORA POST FH/FM/B9R/B13R/B12B,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
01:01:001:21097382,01,01,001,21097382, ,"MANIFOLD COMPLETO,FH/FM/FMX/NH 9/10/11",2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
02:06:A13:2292979,02,06,A13,2292979, ,HOJA MUELLE POST NRO 1 G460,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
04:24:007:006 981 1705,04,24,007,006 981 1705, ,RODAJE P/ATAQ LADO BRIDA (EXT),2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
04:02:A27:001 470 2694,04,02,A27,001 470 2694,7.28409.51.0,BOMBA DE COMBUSTIBLE,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
04:02:286:695 500 7001,04,02,286,695 500 7001,CR 2150 000P,RADIADOR AGUA OF1721/1418/1620,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
02:24:049:1461414,02,24,049,1461414, ,TUERCA RANURADO GR801,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
02:24:049:1461416,02,24,049,1461416, ,"TUERCA RANURADA M44X1,5 GR801/900 3/4",2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
04:02:029:000 438 0788,04,02,029,000 438 0788,282.009,ENFRIADOR RETARDADOR VOITH R115E,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
02:24:049:1426449,02,24,049,1426449, ,BBA ACEITE CAJA 124-801/900,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
01:06:205:21321728,01,06,205,21321728, ,PAQUETE MUELLE DELANT 2 EJE FM/FMX 8X4,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
01:24:003:23569656,01,24,003,23569656, ,BBA SERVO DIREC D13A-FM/FMX/FMX480/520,2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
01:02:030:3093630-K,01,02,030,3093630-K,2.96047,"KIT DOBLE GOMA PUNTA""V""CORONA FM12 85.MM",2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
01:02:584:3093630-K,01,02,584,3093630-K,20712563,"KIT DOBLE GOMA PUNTA""V""CORONA FM12 85.MM",2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
01:02:A15:20840815,01,02,A15,20840815,T660046,"KIT GOMA PUNTA""V""CORONA FM12 85MM",2024-01-25 15:10:36.418,2024-01-25 15:10:36.418
